"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"< 1 year"	"0"	198	28297	699.7
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"1 year"	"1"	12	28925	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"2 years"	"2"	10	29421	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"3 years"	"3"	13	29013	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"4 years"	"4"	Suppressed	28524	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"5 years"	"5"	Suppressed	29148	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"6 years"	"6"	Suppressed	28893	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"7 years"	"7"	Suppressed	29375	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"8 years"	"8"	Suppressed	29555	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"9 years"	"9"	Suppressed	30788	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"10 years"	"10"	Suppressed	30624	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"11 years"	"11"	Suppressed	30194	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"12 years"	"12"	Suppressed	29930	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"13 years"	"13"	Suppressed	30044	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"14 years"	"14"	Suppressed	30189	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"15 years"	"15"	15	30267	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"16 years"	"16"	Suppressed	31894	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"17 years"	"17"	13	32331	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"18 years"	"18"	Suppressed	31185	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"19 years"	"19"	13	31395	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"20 years"	"20"	18	31803	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"21 years"	"21"	22	32019	68.7
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"22 years"	"22"	27	32815	82.3
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"23 years"	"23"	26	33413	77.8
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"24 years"	"24"	27	33181	81.4
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"25 years"	"25"	29	34293	84.6
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"26 years"	"26"	20	35713	56.0
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"27 years"	"27"	46	35386	130.0
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"28 years"	"28"	26	33205	78.3
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"29 years"	"29"	37	31811	116.3
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"30 years"	"30"	33	30737	107.4
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"31 years"	"31"	41	30824	133.0
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"32 years"	"32"	32	31306	102.2
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"33 years"	"33"	48	30735	156.2
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"34 years"	"34"	44	30950	142.2
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"35 years"	"35"	46	31207	147.4
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"36 years"	"36"	56	31437	178.1
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"37 years"	"37"	51	31984	159.5
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"38 years"	"38"	52	30443	170.8
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"39 years"	"39"	70	30185	231.9
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"40 years"	"40"	69	30117	229.1
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"41 years"	"41"	67	29000	231.0
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"42 years"	"42"	75	30066	249.5
