"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2018"	"2018"	54352	4887871	1112.0
	"Alabama"	"01"	"2019"	"2019"	54108	4903185	1103.5
	"Alabama"	"01"	"2020"	"2020"	64779	4921532	1316.2
	"Alabama"	"01"	"2021 "	"2021"	68889	5039877	1366.9
	"Alaska"	"02"	"2018"	"2018"	4453	737438	603.8
	"Alaska"	"02"	"2019"	"2019"	4613	731545	630.6
	"Alaska"	"02"	"2020"	"2020"	5170	731158	707.1
	"Alaska"	"02"	"2021 "	"2021"	6208	732673	847.3
	"Arizona"	"04"	"2018"	"2018"	59282	7171646	826.6
	"Arizona"	"04"	"2019"	"2019"	60236	7278717	827.6
	"Arizona"	"04"	"2020"	"2020"	75747	7421401	1020.7
	"Arizona"	"04"	"2021 "	"2021"	81442	7276316	1119.3
	"Arkansas"	"05"	"2018"	"2018"	32336	3013825	1072.9
	"Arkansas"	"05"	"2019"	"2019"	32888	3017804	1089.8
	"Arkansas"	"05"	"2020"	"2020"	38108	3030522	1257.5
	"Arkansas"	"05"	"2021 "	"2021"	40070	3025891	1324.2
	"California"	"06"	"2018"	"2018"	268818	39557045	679.6
	"California"	"06"	"2019"	"2019"	269831	39512223	682.9
	"California"	"06"	"2020"	"2020"	319808	39368078	812.4
	"California"	"06"	"2021 "	"2021"	333249	39237836	849.3
	"Colorado"	"08"	"2018"	"2018"	38526	5695564	676.4
	"Colorado"	"08"	"2019"	"2019"	39390	5758736	684.0
	"Colorado"	"08"	"2020"	"2020"	46918	5807719	807.9
	"Colorado"	"08"	"2021 "	"2021"	48281	5812069	830.7
	"Connecticut"	"09"	"2018"	"2018"	31230	3572665	874.1
	"Connecticut"	"09"	"2019"	"2019"	31745	3565287	890.4
	"Connecticut"	"09"	"2020"	"2020"	37853	3557006	1064.2
	"Connecticut"	"09"	"2021 "	"2021"	34333	3605597	952.2
	"Delaware"	"10"	"2018"	"2018"	9433	967171	975.3
	"Delaware"	"10"	"2019"	"2019"	9302	973764	955.3
	"Delaware"	"10"	"2020"	"2020"	11072	986809	1122.0
	"Delaware"	"10"	"2021 "	"2021"	11296	1003384	1125.8
	"District of Columbia"	"11"	"2018"	"2018"	5008	702455	712.9
	"District of Columbia"	"11"	"2019"	"2019"	4927	705749	698.1
	"District of Columbia"	"11"	"2020"	"2020"	6198	712816	869.5
	"District of Columbia"	"11"	"2021 "	"2021"	5833	670050	870.5
	"Florida"	"12"	"2018"	"2018"	205426	21299325	964.5
	"Florida"	"12"	"2019"	"2019"	207002	21477737	963.8
	"Florida"	"12"	"2020"	"2020"	239685	21733312	1102.8
	"Florida"	"12"	"2021 "	"2021"	261369	21781128	1200.0
	"Georgia"	"13"	"2018"	"2018"	85202	10519475	809.9
	"Georgia"	"13"	"2019"	"2019"	85814	10617423	808.2
	"Georgia"	"13"	"2020"	"2020"	103075	10710017	962.4
	"Georgia"	"13"	"2021 "	"2021"	112272	10799566	1039.6
	"Hawaii"	"15"	"2018"	"2018"	11415	1420491	803.6
	"Hawaii"	"15"	"2019"	"2019"	11559	1415872	816.4
	"Hawaii"	"15"	"2020"	"2020"	12033	1407006	855.2
	"Hawaii"	"15"	"2021 "	"2021"	12816	1441553	889.0
	"Idaho"	"16"	"2018"	"2018"	14261	1754208	813.0
	"Idaho"	"16"	"2019"	"2019"	14430	1787065	807.5
	"Idaho"	"16"	"2020"	"2020"	16402	1826913	897.8
	"Idaho"	"16"	"2021 "	"2021"	18346	1900923	965.1
	"Illinois"	"17"	"2018"	"2018"	110022	12741080	863.5
	"Illinois"	"17"	"2019"	"2019"	109096	12671821	860.9
	"Illinois"	"17"	"2020"	"2020"	132663	12587530	1053.9
	"Illinois"	"17"	"2021 "	"2021"	125048	12671469	986.8
	"Indiana"	"18"	"2018"	"2018"	65693	6691878	981.7
	"Indiana"	"18"	"2019"	"2019"	66001	6732219	980.4
	"Indiana"	"18"	"2020"	"2020"	78194	6754953	1157.6
	"Indiana"	"18"	"2021 "	"2021"	78317	6805985	1150.7
	"Iowa"	"19"	"2018"	"2018"	30367	3156145	962.2
	"Iowa"	"19"	"2019"	"2019"	30867	3155070	978.3
	"Iowa"	"19"	"2020"	"2020"	35981	3163561	1137.4
	"Iowa"	"19"	"2021 "	"2021"	34215	3193079	1071.5
	"Kansas"	"20"	"2018"	"2018"	27537	2911505	945.8
	"Kansas"	"20"	"2019"	"2019"	27682	2913314	950.2
	"Kansas"	"20"	"2020"	"2020"	32060	2913805	1100.3
	"Kansas"	"20"	"2021 "	"2021"	32029	2934582	1091.4
	"Kentucky"	"21"	"2018"	"2018"	48707	4468402	1090.0
	"Kentucky"	"21"	"2019"	"2019"	48990	4467673	1096.5
	"Kentucky"	"21"	"2020"	"2020"	55880	4477251	1248.1
	"Kentucky"	"21"	"2021 "	"2021"	60303	4509394	1337.3
	"Louisiana"	"22"	"2018"	"2018"	46048	4659978	988.2
	"Louisiana"	"22"	"2019"	"2019"	45938	4648794	988.2
	"Louisiana"	"22"	"2020"	"2020"	56752	4645318	1221.7
	"Louisiana"	"22"	"2021 "	"2021"	57533	4624047	1244.2
	"Maine"	"23"	"2018"	"2018"	14715	1338404	1099.4
	"Maine"	"23"	"2019"	"2019"	15065	1344212	1120.7
	"Maine"	"23"	"2020"	"2020"	15740	1350141	1165.8
	"Maine"	"23"	"2021 "	"2021"	17269	1372247	1258.4
	"Maryland"	"24"	"2018"	"2018"	50568	6042718	836.8
	"Maryland"	"24"	"2019"	"2019"	50800	6045680	840.3
	"Maryland"	"24"	"2020"	"2020"	60072	6055802	992.0
	"Maryland"	"24"	"2021 "	"2021"	58117	6165129	942.7
	"Massachusetts"	"25"	"2018"	"2018"	59152	6902149	857.0
	"Massachusetts"	"25"	"2019"	"2019"	58630	6892503	850.6
	"Massachusetts"	"25"	"2020"	"2020"	68223	6893574	989.7
	"Massachusetts"	"25"	"2021 "	"2021"	63115	6984723	903.6
	"Michigan"	"26"	"2018"	"2018"	98903	9995915	989.4
	"Michigan"	"26"	"2019"	"2019"	99084	9986857	992.1
	"Michigan"	"26"	"2020"	"2020"	117106	9966555	1175.0
	"Michigan"	"26"	"2021 "	"2021"	117782	10050811	1171.9
	"Minnesota"	"27"	"2018"	"2018"	44745	5611179	797.4
	"Minnesota"	"27"	"2019"	"2019"	45514	5639632	807.0
	"Minnesota"	"27"	"2020"	"2020"	52372	5657342	925.7
	"Minnesota"	"27"	"2021 "	"2021"	51640	5707390	904.8
	"Mississippi"	"28"	"2018"	"2018"	32301	2986530	1081.6
	"Mississippi"	"28"	"2019"	"2019"	32964	2976149	1107.6
	"Mississippi"	"28"	"2020"	"2020"	40190	2966786	1354.7
	"Mississippi"	"28"	"2021 "	"2021"	41085	2949965	1392.7
	"Missouri"	"29"	"2018"	"2018"	63117	6126452	1030.2
	"Missouri"	"29"	"2019"	"2019"	62401	6137428	1016.7
	"Missouri"	"29"	"2020"	"2020"	73887	6151548	1201.1
	"Missouri"	"29"	"2021 "	"2021"	73847	6168187	1197.2
	"Montana"	"30"	"2018"	"2018"	9992	1062305	940.6
	"Montana"	"30"	"2019"	"2019"	10402	1068778	973.3
	"Montana"	"30"	"2020"	"2020"	12027	1080577	1113.0
	"Montana"	"30"	"2021 "	"2021"	12707	1104271	1150.7
	"Nebraska"	"31"	"2018"	"2018"	16904	1929268	876.2
	"Nebraska"	"31"	"2019"	"2019"	16970	1934408	877.3
	"Nebraska"	"31"	"2020"	"2020"	19549	1937552	1009.0
