"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	26278	2523756	1041.2
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	28074	2364115	1187.5
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	26020	2533668	1027.0
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	28088	2369517	1185.4
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	31040	2544566	1219.9
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	33739	2376966	1419.4
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	32578	2591778	1257.0
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	36311	2448099	1483.2
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	1908	352865	540.7
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	2545	384573	661.8
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	2007	350127	573.2
	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	2606	381418	683.2
	"Alaska"	"02"	"2020"	"2020"	"Female"	"F"	2172	349621	621.2
	"Alaska"	"02"	"2020"	"2020"	"Male"	"M"	2998	381537	785.8
	"Alaska"	"02"	"2021 "	"2021"	"Female"	"F"	2561	348469	734.9
	"Alaska"	"02"	"2021 "	"2021"	"Male"	"M"	3647	384204	949.2
	"Arizona"	"04"	"2018"	"2018"	"Female"	"F"	27171	3606307	753.4
	"Arizona"	"04"	"2018"	"2018"	"Male"	"M"	32111	3565339	900.6
	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	27611	3661420	754.1
	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	32625	3617297	901.9
	"Arizona"	"04"	"2020"	"2020"	"Female"	"F"	34285	3735475	917.8
	"Arizona"	"04"	"2020"	"2020"	"Male"	"M"	41462	3685926	1124.9
	"Arizona"	"04"	"2021 "	"2021"	"Female"	"F"	36353	3642602	998.0
	"Arizona"	"04"	"2021 "	"2021"	"Male"	"M"	45089	3633714	1240.9
	"Arkansas"	"05"	"2018"	"2018"	"Female"	"F"	15547	1533682	1013.7
	"Arkansas"	"05"	"2018"	"2018"	"Male"	"M"	16789	1480143	1134.3
	"Arkansas"	"05"	"2019"	"2019"	"Female"	"F"	15641	1536188	1018.2
	"Arkansas"	"05"	"2019"	"2019"	"Male"	"M"	17247	1481616	1164.1
	"Arkansas"	"05"	"2020"	"2020"	"Female"	"F"	18293	1543666	1185.0
	"Arkansas"	"05"	"2020"	"2020"	"Male"	"M"	19815	1486856	1332.7
	"Arkansas"	"05"	"2021 "	"2021"	"Female"	"F"	18686	1532713	1219.1
	"Arkansas"	"05"	"2021 "	"2021"	"Male"	"M"	21384	1493178	1432.1
	"California"	"06"	"2018"	"2018"	"Female"	"F"	128703	19893468	647.0
	"California"	"06"	"2018"	"2018"	"Male"	"M"	140115	19663577	712.6
	"California"	"06"	"2019"	"2019"	"Female"	"F"	128135	19867369	645.0
	"California"	"06"	"2019"	"2019"	"Male"	"M"	141696	19644854	721.3
	"California"	"06"	"2020"	"2020"	"Female"	"F"	148019	19790589	747.9
	"California"	"06"	"2020"	"2020"	"Male"	"M"	171789	19577489	877.5
	"California"	"06"	"2021 "	"2021"	"Female"	"F"	151851	19620646	773.9
	"California"	"06"	"2021 "	"2021"	"Male"	"M"	181398	19617190	924.7
	"Colorado"	"08"	"2018"	"2018"	"Female"	"F"	18298	2827696	647.1
	"Colorado"	"08"	"2018"	"2018"	"Male"	"M"	20228	2867868	705.3
	"Colorado"	"08"	"2019"	"2019"	"Female"	"F"	18793	2857388	657.7
	"Colorado"	"08"	"2019"	"2019"	"Male"	"M"	20597	2901348	709.9
	"Colorado"	"08"	"2020"	"2020"	"Female"	"F"	21918	2881832	760.6
	"Colorado"	"08"	"2020"	"2020"	"Male"	"M"	25000	2925887	854.4
	"Colorado"	"08"	"2021 "	"2021"	"Female"	"F"	21891	2867419	763.4
	"Colorado"	"08"	"2021 "	"2021"	"Male"	"M"	26390	2944650	896.2
	"Connecticut"	"09"	"2018"	"2018"	"Female"	"F"	15879	1829270	868.1
	"Connecticut"	"09"	"2018"	"2018"	"Male"	"M"	15351	1743395	880.5
	"Connecticut"	"09"	"2019"	"2019"	"Female"	"F"	15923	1825870	872.1
	"Connecticut"	"09"	"2019"	"2019"	"Male"	"M"	15822	1739417	909.6
	"Connecticut"	"09"	"2020"	"2020"	"Female"	"F"	18925	1822086	1038.6
	"Connecticut"	"09"	"2020"	"2020"	"Male"	"M"	18928	1734920	1091.0
	"Connecticut"	"09"	"2021 "	"2021"	"Female"	"F"	16600	1836010	904.1
	"Connecticut"	"09"	"2021 "	"2021"	"Male"	"M"	17733	1769587	1002.1
	"Delaware"	"10"	"2018"	"2018"	"Female"	"F"	4511	499244	903.6
	"Delaware"	"10"	"2018"	"2018"	"Male"	"M"	4922	467927	1051.9
	"Delaware"	"10"	"2019"	"2019"	"Female"	"F"	4376	502971	870.0
	"Delaware"	"10"	"2019"	"2019"	"Male"	"M"	4926	470793	1046.3
	"Delaware"	"10"	"2020"	"2020"	"Female"	"F"	5380	510069	1054.8
	"Delaware"	"10"	"2020"	"2020"	"Male"	"M"	5692	476740	1193.9
	"Delaware"	"10"	"2021 "	"2021"	"Female"	"F"	5202	516048	1008.0
	"Delaware"	"10"	"2021 "	"2021"	"Male"	"M"	6094	487336	1250.5
	"District of Columbia"	"11"	"2018"	"2018"	"Female"	"F"	2457	369148	665.6
	"District of Columbia"	"11"	"2018"	"2018"	"Male"	"M"	2551	333307	765.4
	"District of Columbia"	"11"	"2019"	"2019"	"Female"	"F"	2393	371038	644.9
	"District of Columbia"	"11"	"2019"	"2019"	"Male"	"M"	2534	334711	757.1
	"District of Columbia"	"11"	"2020"	"2020"	"Female"	"F"	2940	374884	784.2
	"District of Columbia"	"11"	"2020"	"2020"	"Male"	"M"	3258	337932	964.1
	"District of Columbia"	"11"	"2021 "	"2021"	"Female"	"F"	2756	351146	784.9
	"District of Columbia"	"11"	"2021 "	"2021"	"Male"	"M"	3077	318904	964.9
	"Florida"	"12"	"2018"	"2018"	"Female"	"F"	97112	10887548	892.0
	"Florida"	"12"	"2018"	"2018"	"Male"	"M"	108314	10411777	1040.3
	"Florida"	"12"	"2019"	"2019"	"Female"	"F"	97394	10980681	887.0
	"Florida"	"12"	"2019"	"2019"	"Male"	"M"	109608	10497056	1044.2
	"Florida"	"12"	"2020"	"2020"	"Female"	"F"	111690	11113132	1005.0
	"Florida"	"12"	"2020"	"2020"	"Male"	"M"	127995	10620180	1205.2
	"Florida"	"12"	"2021 "	"2021"	"Female"	"F"	120346	11070771	1087.1
	"Florida"	"12"	"2021 "	"2021"	"Male"	"M"	141023	10710357	1316.7
	"Georgia"	"13"	"2018"	"2018"	"Female"	"F"	41608	5404059	769.9
	"Georgia"	"13"	"2018"	"2018"	"Male"	"M"	43594	5115416	852.2
	"Georgia"	"13"	"2019"	"2019"	"Female"	"F"	41722	5456999	764.6
	"Georgia"	"13"	"2019"	"2019"	"Male"	"M"	44092	5160424	854.4
	"Georgia"	"13"	"2020"	"2020"	"Female"	"F"	49469	5508468	898.1
	"Georgia"	"13"	"2020"	"2020"	"Male"	"M"	53606	5201549	1030.6
	"Georgia"	"13"	"2021 "	"2021"	"Female"	"F"	53523	5529805	967.9
	"Georgia"	"13"	"2021 "	"2021"	"Male"	"M"	58749	5269761	1114.8
	"Hawaii"	"15"	"2018"	"2018"	"Female"	"F"	5330	709489	751.2
	"Hawaii"	"15"	"2018"	"2018"	"Male"	"M"	6085	711002	855.8
