"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"< 1 year"	"1"	167	27728	602.3
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"1-4 years"	"1-4"	32	116211	27.5
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"5-14 years"	"5-14"	43	298051	14.4
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"15-24 years"	"15-24"	182	317261	57.4
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"25-34 years"	"25-34"	354	326143	108.5
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"35-44 years"	"35-44"	700	305364	229.2
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"45-54 years"	"45-54"	1456	323103	450.6
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"55-64 years"	"55-64"	3249	343624	945.5
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"65-74 years"	"65-74"	4970	263223	1888.1
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"75-84 years"	"75-84"	6748	143316	4708.5
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"85+ years"	"85+"	8377	59732	14024.3
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"< 1 year"	"1"	238	29011	820.4
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"1-4 years"	"1-4"	57	120253	47.4
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"5-14 years"	"5-14"	63	310344	20.3
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"15-24 years"	"15-24"	489	323639	151.1
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"25-34 years"	"25-34"	794	317397	250.2
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"35-44 years"	"35-44"	1120	286938	390.3
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"45-54 years"	"45-54"	2140	304355	703.1
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"55-64 years"	"55-64"	4847	311555	1555.7
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"65-74 years"	"65-74"	6611	224498	2944.8
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"75-84 years"	"75-84"	6821	105992	6435.4
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"85+ years"	"85+"	4894	30133	16241.3
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"< 1 year"	"1"	203	27821	729.7
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"1-4 years"	"1-4"	45	116821	38.5
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"5-14 years"	"5-14"	50	298321	16.8
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"15-24 years"	"15-24"	176	315228	55.8
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"25-34 years"	"25-34"	363	327364	110.9
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"35-44 years"	"35-44"	655	306726	213.5
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"45-54 years"	"45-54"	1353	317909	425.6
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"55-64 years"	"55-64"	3156	344792	915.3
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"65-74 years"	"65-74"	5071	270914	1871.8
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"75-84 years"	"75-84"	6665	147551	4517.1
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"85+ years"	"85+"	8283	60221	13754.3
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"< 1 year"	"1"	246	29080	845.9
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"1-4 years"	"1-4"	68	120635	56.4
