"Notes"	"Year"	"Year Code"	"Residence State"	"Residence State Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	26278	2523756	1041.2
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	28074	2364115	1187.5
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	1908	352865	540.7
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	2545	384573	661.8
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	27171	3606307	753.4
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	32111	3565339	900.6
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	15547	1533682	1013.7
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	16789	1480143	1134.3
	"2018"	"2018"	"California"	"06"	"Female"	"F"	128703	19893468	647.0
	"2018"	"2018"	"California"	"06"	"Male"	"M"	140115	19663577	712.6
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	18298	2827696	647.1
	"2018"	"2018"	"Colorado"	"08"	"Male"	"M"	20228	2867868	705.3
	"2018"	"2018"	"Connecticut"	"09"	"Female"	"F"	15879	1829270	868.1
	"2018"	"2018"	"Connecticut"	"09"	"Male"	"M"	15351	1743395	880.5
	"2018"	"2018"	"Delaware"	"10"	"Female"	"F"	4511	499244	903.6
	"2018"	"2018"	"Delaware"	"10"	"Male"	"M"	4922	467927	1051.9
	"2018"	"2018"	"District of Columbia"	"11"	"Female"	"F"	2457	369148	665.6
	"2018"	"2018"	"District of Columbia"	"11"	"Male"	"M"	2551	333307	765.4
	"2018"	"2018"	"Florida"	"12"	"Female"	"F"	97112	10887548	892.0
	"2018"	"2018"	"Florida"	"12"	"Male"	"M"	108314	10411777	1040.3
	"2018"	"2018"	"Georgia"	"13"	"Female"	"F"	41608	5404059	769.9
	"2018"	"2018"	"Georgia"	"13"	"Male"	"M"	43594	5115416	852.2
	"2018"	"2018"	"Hawaii"	"15"	"Female"	"F"	5330	709489	751.2
	"2018"	"2018"	"Hawaii"	"15"	"Male"	"M"	6085	711002	855.8
	"2018"	"2018"	"Idaho"	"16"	"Female"	"F"	6726	875131	768.6
	"2018"	"2018"	"Idaho"	"16"	"Male"	"M"	7535	879077	857.1
	"2018"	"2018"	"Illinois"	"17"	"Female"	"F"	54640	6480179	843.2
	"2018"	"2018"	"Illinois"	"17"	"Male"	"M"	55382	6260901	884.6
	"2018"	"2018"	"Indiana"	"18"	"Female"	"F"	32416	3391576	955.8
	"2018"	"2018"	"Indiana"	"18"	"Male"	"M"	33277	3300302	1008.3
	"2018"	"2018"	"Iowa"	"19"	"Female"	"F"	15086	1585338	951.6
	"2018"	"2018"	"Iowa"	"19"	"Male"	"M"	15281	1570807	972.8
	"2018"	"2018"	"Kansas"	"20"	"Female"	"F"	13665	1461099	935.3
	"2018"	"2018"	"Kansas"	"20"	"Male"	"M"	13872	1450406	956.4
	"2018"	"2018"	"Kentucky"	"21"	"Female"	"F"	23627	2266891	1042.3
	"2018"	"2018"	"Kentucky"	"21"	"Male"	"M"	25080	2201511	1139.2
	"2018"	"2018"	"Louisiana"	"22"	"Female"	"F"	22100	2385219	926.5
	"2018"	"2018"	"Louisiana"	"22"	"Male"	"M"	23948	2274759	1052.8
	"2018"	"2018"	"Maine"	"23"	"Female"	"F"	7183	683031	1051.6
	"2018"	"2018"	"Maine"	"23"	"Male"	"M"	7532	655373	1149.3
	"2018"	"2018"	"Maryland"	"24"	"Female"	"F"	24872	3113797	798.8
	"2018"	"2018"	"Maryland"	"24"	"Male"	"M"	25696	2928921	877.3
	"2018"	"2018"	"Massachusetts"	"25"	"Female"	"F"	29884	3551621	841.4
	"2018"	"2018"	"Massachusetts"	"25"	"Male"	"M"	29268	3350528	873.5
	"2018"	"2018"	"Michigan"	"26"	"Female"	"F"	48705	5073772	959.9
	"2018"	"2018"	"Michigan"	"26"	"Male"	"M"	50198	4922143	1019.8
	"2018"	"2018"	"Minnesota"	"27"	"Female"	"F"	22230	2816378	789.3
	"2018"	"2018"	"Minnesota"	"27"	"Male"	"M"	22515	2794801	805.6
	"2018"	"2018"	"Mississippi"	"28"	"Female"	"F"	15523	1538795	1008.8
	"2018"	"2018"	"Mississippi"	"28"	"Male"	"M"	16778	1447735	1158.9
	"2018"	"2018"	"Missouri"	"29"	"Female"	"F"	30771	3118889	986.6
	"2018"	"2018"	"Missouri"	"29"	"Male"	"M"	32346	3007563	1075.5
	"2018"	"2018"	"Montana"	"30"	"Female"	"F"	4676	527453	886.5
	"2018"	"2018"	"Montana"	"30"	"Male"	"M"	5316	534852	993.9
	"2018"	"2018"	"Nebraska"	"31"	"Female"	"F"	8375	965886	867.1
	"2018"	"2018"	"Nebraska"	"31"	"Male"	"M"	8529	963382	885.3
	"2018"	"2018"	"Nevada"	"32"	"Female"	"F"	10900	1512837	720.5
	"2018"	"2018"	"Nevada"	"32"	"Male"	"M"	13815	1521555	908.0
	"2018"	"2018"	"New Hampshire"	"33"	"Female"	"F"	6214	684192	908.2
	"2018"	"2018"	"New Hampshire"	"33"	"Male"	"M"	6560	672266	975.8
	"2018"	"2018"	"New Jersey"	"34"	"Female"	"F"	38214	4556326	838.7
	"2018"	"2018"	"New Jersey"	"34"	"Male"	"M"	37551	4352194	862.8
	"2018"	"2018"	"New Mexico"	"35"	"Female"	"F"	8630	1058143	815.6
	"2018"	"2018"	"New Mexico"	"35"	"Male"	"M"	10377	1037285	1000.4
	"2018"	"2018"	"New York"	"36"	"Female"	"F"	79614	10053779	791.9
	"2018"	"2018"	"New York"	"36"	"Male"	"M"	77569	9488430	817.5
	"2018"	"2018"	"North Carolina"	"37"	"Female"	"F"	45742	5332759	857.8
	"2018"	"2018"	"North Carolina"	"37"	"Male"	"M"	48143	5050861	953.2
	"2018"	"2018"	"North Dakota"	"38"	"Female"	"F"	3076	370727	829.7
	"2018"	"2018"	"North Dakota"	"38"	"Male"	"M"	3369	389350	865.3
	"2018"	"2018"	"Ohio"	"39"	"Female"	"F"	61436	5958724	1031.0
	"2018"	"2018"	"Ohio"	"39"	"Male"	"M"	62828	5730718	1096.3
	"2018"	"2018"	"Oklahoma"	"40"	"Female"	"F"	19659	1990033	987.9
	"2018"	"2018"	"Oklahoma"	"40"	"Male"	"M"	21274	1953046	1089.3
	"2018"	"2018"	"Oregon"	"41"	"Female"	"F"	17516	2113219	828.9
	"2018"	"2018"	"Oregon"	"41"	"Male"	"M"	18671	2077494	898.7
	"2018"	"2018"	"Pennsylvania"	"42"	"Female"	"F"	67369	6532400	1031.3
	"2018"	"2018"	"Pennsylvania"	"42"	"Male"	"M"	67333	6274660	1073.1
	"2018"	"2018"	"Rhode Island"	"44"	"Female"	"F"	5158	542983	949.9
	"2018"	"2018"	"Rhode Island"	"44"	"Male"	"M"	4925	514332	957.6
	"2018"	"2018"	"South Carolina"	"45"	"Female"	"F"	24323	2620801	928.1
	"2018"	"2018"	"South Carolina"	"45"	"Male"	"M"	26317	2463326	1068.4
	"2018"	"2018"	"South Dakota"	"46"	"Female"	"F"	3806	436704	871.5
	"2018"	"2018"	"South Dakota"	"46"	"Male"	"M"	4165	445531	934.8
	"2018"	"2018"	"Tennessee"	"47"	"Female"	"F"	34692	3467086	1000.6
	"2018"	"2018"	"Tennessee"	"47"	"Male"	"M"	36386	3302924	1101.6
	"2018"	"2018"	"Texas"	"48"	"Female"	"F"	95697	14441739	662.6
	"2018"	"2018"	"Texas"	"48"	"Male"	"M"	106514	14260106	746.9
	"2018"	"2018"	"Utah"	"49"	"Female"	"F"	8749	1568962	557.6
	"2018"	"2018"	"Utah"	"49"	"Male"	"M"	9605	1592143	603.3
	"2018"	"2018"	"Vermont"	"50"	"Female"	"F"	2977	317047	939.0
	"2018"	"2018"	"Vermont"	"50"	"Male"	"M"	3050	309252	986.3
	"2018"	"2018"	"Virginia"	"51"	"Female"	"F"	33942	4327037	784.4
	"2018"	"2018"	"Virginia"	"51"	"Male"	"M"	35417	4190648	845.1
	"2018"	"2018"	"Washington"	"53"	"Female"	"F"	27483	3765680	729.8
	"2018"	"2018"	"Washington"	"53"	"Male"	"M"	29394	3769911	779.7
	"2018"	"2018"	"West Virginia"	"54"	"Female"	"F"	11347	911492	1244.9
	"2018"	"2018"	"West Virginia"	"54"	"Male"	"M"	12131	894340	1356.4
	"2018"	"2018"	"Wisconsin"	"55"	"Female"	"F"	26517	2921295	907.7
	"2018"	"2018"	"Wisconsin"	"55"	"Male"	"M"	27167	2892273	939.3
	"2018"	"2018"	"Wyoming"	"56"	"Female"	"F"	2394	283203	845.3
	"2018"	"2018"	"Wyoming"	"56"	"Male"	"M"	2676	294534	908.6
	"2019"	"2019"	"Alabama"	"01"	"Female"	"F"	26020	2533668	1027.0
	"2019"	"2019"	"Alabama"	"01"	"Male"	"M"	28088	2369517	1185.4
	"2019"	"2019"	"Alaska"	"02"	"Female"	"F"	2007	350127	573.2
	"2019"	"2019"	"Alaska"	"02"	"Male"	"M"	2606	381418	683.2
	"2019"	"2019"	"Arizona"	"04"	"Female"	"F"	27611	3661420	754.1
	"2019"	"2019"	"Arizona"	"04"	"Male"	"M"	32625	3617297	901.9
	"2019"	"2019"	"Arkansas"	"05"	"Female"	"F"	15641	1536188	1018.2
	"2019"	"2019"	"Arkansas"	"05"	"Male"	"M"	17247	1481616	1164.1
	"2019"	"2019"	"California"	"06"	"Female"	"F"	128135	19867369	645.0
	"2019"	"2019"	"California"	"06"	"Male"	"M"	141696	19644854	721.3
	"2019"	"2019"	"Colorado"	"08"	"Female"	"F"	18793	2857388	657.7
	"2019"	"2019"	"Colorado"	"08"	"Male"	"M"	20597	2901348	709.9
	"2019"	"2019"	"Connecticut"	"09"	"Female"	"F"	15923	1825870	872.1
	"2019"	"2019"	"Connecticut"	"09"	"Male"	"M"	15822	1739417	909.6
	"2019"	"2019"	"Delaware"	"10"	"Female"	"F"	4376	502971	870.0
	"2019"	"2019"	"Delaware"	"10"	"Male"	"M"	4926	470793	1046.3
	"2019"	"2019"	"District of Columbia"	"11"	"Female"	"F"	2393	371038	644.9
	"2019"	"2019"	"District of Columbia"	"11"	"Male"	"M"	2534	334711	757.1
	"2019"	"2019"	"Florida"	"12"	"Female"	"F"	97394	10980681	887.0
	"2019"	"2019"	"Florida"	"12"	"Male"	"M"	109608	10497056	1044.2
	"2019"	"2019"	"Georgia"	"13"	"Female"	"F"	41722	5456999	764.6
	"2019"	"2019"	"Georgia"	"13"	"Male"	"M"	44092	5160424	854.4
	"2019"	"2019"	"Hawaii"	"15"	"Female"	"F"	5377	707832	759.6
	"2019"	"2019"	"Hawaii"	"15"	"Male"	"M"	6182	708040	873.1
	"2019"	"2019"	"Idaho"	"16"	"Female"	"F"	6892	891137	773.4
	"2019"	"2019"	"Idaho"	"16"	"Male"	"M"	7538	895928	841.4
	"2019"	"2019"	"Illinois"	"17"	"Female"	"F"	53633	6445263	832.1
	"2019"	"2019"	"Illinois"	"17"	"Male"	"M"	55463	6226558	890.7
	"2019"	"2019"	"Indiana"	"18"	"Female"	"F"	32255	3411859	945.4
	"2019"	"2019"	"Indiana"	"18"	"Male"	"M"	33746	3320360	1016.3
	"2019"	"2019"	"Iowa"	"19"	"Female"	"F"	15271	1583995	964.1
	"2019"	"2019"	"Iowa"	"19"	"Male"	"M"	15596	1571075	992.7
	"2019"	"2019"	"Kansas"	"20"	"Female"	"F"	13657	1461617	934.4
	"2019"	"2019"	"Kansas"	"20"	"Male"	"M"	14025	1451697	966.1
	"2019"	"2019"	"Kentucky"	"21"	"Female"	"F"	23672	2266644	1044.4
	"2019"	"2019"	"Kentucky"	"21"	"Male"	"M"	25318	2201029	1150.3
	"2019"	"2019"	"Louisiana"	"22"	"Female"	"F"	21992	2381744	923.4
	"2019"	"2019"	"Louisiana"	"22"	"Male"	"M"	23946	2267050	1056.3
	"2019"	"2019"	"Maine"	"23"	"Female"	"F"	7287	686100	1062.1
	"2019"	"2019"	"Maine"	"23"	"Male"	"M"	7778	658112	1181.9
	"2019"	"2019"	"Maryland"	"24"	"Female"	"F"	24918	3116815	799.5
	"2019"	"2019"	"Maryland"	"24"	"Male"	"M"	25882	2928865	883.7
