"Notes"	"Year"	"Year Code"	"Residence State"	"Residence State Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	167	27728	602.3
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"1-4 years"	"1-4"	32	116211	27.5
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"5-14 years"	"5-14"	43	298051	14.4
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	182	317261	57.4
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	354	326143	108.5
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	700	305364	229.2
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	1456	323103	450.6
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	3249	343624	945.5
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	4970	263223	1888.1
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"75-84 years"	"75-84"	6748	143316	4708.5
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"85+ years"	"85+"	8377	59732	14024.3
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"< 1 year"	"1"	238	29011	820.4
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"1-4 years"	"1-4"	57	120253	47.4
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"5-14 years"	"5-14"	63	310344	20.3
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	489	323639	151.1
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	794	317397	250.2
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"35-44 years"	"35-44"	1120	286938	390.3
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"45-54 years"	"45-54"	2140	304355	703.1
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"55-64 years"	"55-64"	4847	311555	1555.7
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"65-74 years"	"65-74"	6611	224498	2944.8
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"75-84 years"	"75-84"	6821	105992	6435.4
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"85+ years"	"85+"	4894	30133	16241.3
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"< 1 year"	"1"	27	5215	517.7
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	20818	Suppressed
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"5-14 years"	"5-14"	11	49377	Unreliable
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"15-24 years"	"15-24"	25	44601	56.1
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"25-34 years"	"25-34"	73	55763	130.9
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"35-44 years"	"35-44"	83	45225	183.5
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"45-54 years"	"45-54"	153	42122	363.2
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"55-64 years"	"55-64"	262	45975	569.9
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"65-74 years"	"65-74"	369	28361	1301.1
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"75-84 years"	"75-84"	426	11149	3821.0
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"85+ years"	"85+"	476	4259	11176.3
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"< 1 year"	"1"	33	5450	605.5
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"1-4 years"	"1-4"	Suppressed	21632	Suppressed
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"5-14 years"	"5-14"	15	52438	Unreliable
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"15-24 years"	"15-24"	72	54662	131.7
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"25-34 years"	"25-34"	120	63102	190.2
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"35-44 years"	"35-44"	123	49425	248.9
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"45-54 years"	"45-54"	248	45995	539.2
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"55-64 years"	"55-64"	504	48627	1036.5
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"65-74 years"	"65-74"	580	30194	1920.9
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"75-84 years"	"75-84"	497	10454	4754.2
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"85+ years"	"85+"	345	2594	13299.9
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"< 1 year"	"1"	196	40794	480.5
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"1-4 years"	"1-4"	41	172182	23.8
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"5-14 years"	"5-14"	49	455058	10.8
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"15-24 years"	"15-24"	223	467659	47.7
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"25-34 years"	"25-34"	401	474481	84.5
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"35-44 years"	"35-44"	608	434958	139.8
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"45-54 years"	"45-54"	1305	429406	303.9
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"55-64 years"	"55-64"	2782	453093	614.0
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"65-74 years"	"65-74"	4717	386574	1220.2
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"75-84 years"	"75-84"	6831	208008	3284.0
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"85+ years"	"85+"	10017	84094	11911.7
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"< 1 year"	"1"	255	42759	596.4
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"1-4 years"	"1-4"	73	180201	40.5
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"5-14 years"	"5-14"	82	473089	17.3
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"15-24 years"	"15-24"	636	498311	127.6
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"25-34 years"	"25-34"	1049	511364	205.1
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"35-44 years"	"35-44"	1112	445473	249.6
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"45-54 years"	"45-54"	2175	421384	516.2
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"55-64 years"	"55-64"	4676	413184	1131.7
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"65-74 years"	"65-74"	6820	339588	2008.3
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"75-84 years"	"75-84"	8062	181805	4434.4
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"85+ years"	"85+"	7171	58181	12325.3
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"< 1 year"	"1"	126	17998	700.1
