"Notes"	"Year"	"Year Code"	"Residence State"	"Residence State Code"	"Gender"	"Gender Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	167	27728	602.3
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"1-4 years"	"1-4"	32	116211	27.5
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"5-9 years"	"5-9"	23	145833	15.8
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"10-14 years"	"10-14"	20	152218	13.1
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"15-19 years"	"15-19"	71	155697	45.6
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"20-24 years"	"20-24"	111	161564	68.7
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"25-29 years"	"25-29"	169	170662	99.0
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"30-34 years"	"30-34"	185	155481	119.0
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"35-39 years"	"35-39"	299	156327	191.3
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"40-44 years"	"40-44"	401	149037	269.1
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"45-49 years"	"45-49"	599	161205	371.6
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"50-54 years"	"50-54"	857	161898	529.3
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"55-59 years"	"55-59"	1392	175251	794.3
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"60-64 years "	"60-64"	1857	168373	1102.9
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"65-69 years"	"65-69"	2277	145323	1566.9
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"70-74 years"	"70-74"	2693	117900	2284.1
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"75-79 years"	"75-79"	3123	84943	3676.6
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"80-84 years"	"80-84"	3625	58373	6210.1
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"85-89 years"	"85-89"	3736	Not Applicable	Not Applicable
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"90-94 years"	"90-94"	3010	Not Applicable	Not Applicable
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"95-99 years"	"95-99"	1355	Not Applicable	Not Applicable
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"100+ years"	"100+"	276	Not Applicable	Not Applicable
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"< 1 year"	"1"	238	29011	820.4
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"1-4 years"	"1-4"	57	120253	47.4
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"5-9 years"	"5-9"	32	152067	21.0
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"10-14 years"	"10-14"	31	158277	19.6
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"15-19 years"	"15-19"	167	159983	104.4
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"20-24 years"	"20-24"	322	163656	196.8
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"25-29 years"	"25-29"	372	169352	219.7
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"30-34 years"	"30-34"	422	148045	285.0
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"35-39 years"	"35-39"	529	147667	358.2
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"40-44 years"	"40-44"	591	139271	424.4
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"45-49 years"	"45-49"	860	151761	566.7
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"50-54 years"	"50-54"	1280	152594	838.8
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"55-59 years"	"55-59"	2050	161560	1268.9
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"60-64 years "	"60-64"	2797	149995	1864.7
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"65-69 years"	"65-69"	3122	125476	2488.1
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"70-74 years"	"70-74"	3489	99022	3523.5
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"75-79 years"	"75-79"	3462	65915	5252.2
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"80-84 years"	"80-84"	3359	40077	8381.4
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"85-89 years"	"85-89"	2779	Not Applicable	Not Applicable
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"90-94 years"	"90-94"	1567	Not Applicable	Not Applicable
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"95-99 years"	"95-99"	493	Not Applicable	Not Applicable
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"100+ years"	"100+"	55	Not Applicable	Not Applicable
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"< 1 year"	"1"	27	5215	517.7
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	20818	Suppressed
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"5-9 years"	"5-9"	Suppressed	25258	Suppressed
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"10-14 years"	"10-14"	Suppressed	24119	Suppressed
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"15-19 years"	"15-19"	Suppressed	21956	Suppressed
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"20-24 years"	"20-24"	19	22645	Unreliable
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"25-29 years"	"25-29"	29	28568	101.5
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"30-34 years"	"30-34"	44	27195	161.8
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"35-39 years"	"35-39"	50	24729	202.2
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"40-44 years"	"40-44"	33	20496	161.0
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"45-49 years"	"45-49"	51	20794	245.3
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"50-54 years"	"50-54"	102	21328	478.2
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"55-59 years"	"55-59"	118	23732	497.2
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"60-64 years "	"60-64"	144	22243	647.4
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"65-69 years"	"65-69"	181	16972	1066.5
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"70-74 years"	"70-74"	188	11389	1650.7
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"75-79 years"	"75-79"	199	6960	2859.2
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"80-84 years"	"80-84"	227	4189	5419.0
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"85-89 years"	"85-89"	214	Not Applicable	Not Applicable
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"90-94 years"	"90-94"	163	Not Applicable	Not Applicable
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"95-99 years"	"95-99"	84	Not Applicable	Not Applicable
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"100+ years"	"100+"	15	Not Applicable	Not Applicable
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"< 1 year"	"1"	33	5450	605.5
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"1-4 years"	"1-4"	Suppressed	21632	Suppressed
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"5-9 years"	"5-9"	11	26798	Unreliable
