final_provisional,year_code,race_population,state_gender_10years_age,state_gender_5years_age,state_gender_allages,state_gender_singleyears_age,state_total,suppressed_gender_10years_age,suppressed_gender_5years_age,suppressed_gender_singleyears_age,suppressed_gender_allages
final,1999,bridged_race,2391085,2390810,2391399,2383751,2391399,314,589,7648,0
final,2000,bridged_race,2403059,2402757,2403351,2395764,2403351,292,594,7587,0
final,2001,bridged_race,2416125,2415804,2416425,2408724,2416425,300,621,7701,0
final,2002,bridged_race,2443066,2442767,2443387,2436072,2443387,321,620,7315,0
final,2003,bridged_race,2447988,2447693,2448288,2440851,2448288,300,595,7437,0
final,2004,bridged_race,2397402,2397088,2397615,2390170,2397615,213,527,7445,0
final,2005,bridged_race,2447724,2447439,2448017,2440302,2448017,293,578,7715,0
final,2006,bridged_race,2425938,2425630,2426264,2418851,2426264,326,634,7413,0
final,2007,bridged_race,2423395,2423150,2423712,2416118,2423712,317,562,7594,0
final,2008,bridged_race,2471658,2471355,2471984,2464463,2471984,326,629,7521,0
final,2009,bridged_race,2436859,2436581,2437163,2429465,2437163,304,582,7698,0
final,2010,bridged_race,2468139,2467872,2468435,2460714,2468435,296,563,7721,0
final,2011,bridged_race,2515158,2514863,2515458,2507618,2515458,300,595,7840,0
final,2012,bridged_race,2542933,2542732,2543279,2535565,2543279,346,547,7714,0
final,2013,bridged_race,2596707,2596411,2596993,2589094,2596993,286,582,7899,0
final,2014,bridged_race,2626090,2625837,2626418,2618679,2626418,328,581,7739,0
final,2015,bridged_race,2712264,2712026,2712630,2705209,2712630,366,604,7421,0
final,2016,bridged_race,2744008,2743730,2744248,2737053,2744248,240,518,7195,0
final,2017,bridged_race,2813237,2813032,2813503,2806300,2813503,266,471,7203,0
final,2018,bridged_race,2838905,2838677,2839205,2832035,2839205,300,528,7170,0
final,2018,single_race,2838905,2838677,2839205,2832035,2839205,300,528,7170,0
final,2019,bridged_race,2854576,2854333,2854838,2847566,2854838,262,505,7272,0
final,2019,single_race,2854576,2854333,2854838,2847566,2854838,262,505,7272,0
final,2020,bridged_race,3383381,3383107,3383729,3377012,3383729,348,622,6717,0
final,2020,single_race,3383381,3383107,3383729,3377012,3383729,348,622,6717,0
final,2021,single_race,3463935,3463737,3464231,3457985,3464231,296,494,6246,0
provisional,2018,single_race,2838905,2838677,2839205,2832035,2839205,300,528,7170,0
provisional,2019,single_race,2854576,2854333,2854838,2847566,2854838,262,505,7272,0
provisional,2020,single_race,3383381,3383107,3383729,3377012,3383729,348,622,6717,0
provisional,2021,single_race,3463935,3463737,3464231,3457985,3464231,296,494,6246,0
provisional,2022,single_race,3279246,3278968,3279528,3273109,3279528,282,560,6419,0
provisional,2023,single_race,2991312,2991057,2991611,2984901,2991611,299,554,6710,0
